SKU,BRANCH,STOCK
00209DRS004,003,0.00
00209DRS004,004,0.00
00209DRS004,007,1.00
00209DRS006,007,0.00
00209DRS008,003,0.00
00209DRS008,004,0.00
00209DRS008,007,1.00
00209DRS010,003,0.00
00209DRS010,004,0.00
00209DRS010,007,0.00
00209DRS012,003,0.00
00209DRS012,004,0.00
00209DRS012,007,0.00
00209DRS014,003,0.00
00209DRS014,004,0.00
00209DRS014,007,0.00
00209DRS020,007,0.00
00211T003,007,0.00
00211T004,001,0.00
00211T005,007,0.00
00211T006,001,1.00
00211T006,007,0.00
00211T007,001,1.00
00211T007,007,0.00
00211T008,001,0.00
00211T009,001,0.00
00211T009,007,0.00
00211T010,001,1.00
00211T011,001,1.00
00211T011,007,0.00
00211T012,001,1.00
00211T013,001,2.00
00211T013,007,0.00
00211T014,007,0.00
00211T016,001,1.00
00211T016,007,0.00
00211T018,007,0.00
00211T028,007,0.00
00211T030,007,0.00
00211T031,007,0.00
00211T033,007,0.00
00211T034,007,1.00
00211T037,004,1.00
00211T037,007,0.00
00211T038,007,0.00
00211T040,007,0.00
00211T047,007,1.00
00211T048,007,3.00
00211T050,007,1.00
00211T051,007,0.00
00211T052,007,0.00
00211T053,007,-1.00
00211T054,007,-1.00
00211T056,007,0.00
00211T057,007,0.00
00211T059,007,0.00
00211T062,007,0.00
00211T069,007,2.00
00211T071,007,2.00
00502002,001,0.00
00502002,004,0.00
00502002,006,1.00
00502003,001,0.00
00502003,003,0.00
00502003,004,0.00
00502003,007,0.00
00502004,001,0.00
00502004,003,0.00
00502004,004,0.00
00502004,006,0.00
00502005,001,0.00
00502005,003,0.00
00502005,004,0.00
00502005,006,0.00
00502005,111,0.00
00502006,001,0.00
00502006,003,0.00
00502006,004,0.00
00502006,006,0.00
00502006,007,1.00
00502006,111,0.00
00502007,001,0.00
00502007,003,0.00
00502007,004,0.00
00502007,006,0.00
00502007,007,0.00
00502007,111,0.00
00502008,001,0.00
00502008,003,0.00
00502008,004,0.00
00502009,003,0.00
00502009,004,0.00
00510002,001,1.00
00510003,001,0.00
00510005,001,0.00
00510006,001,0.00
00510006,003,0.00
00510008,001,0.00
00510009,001,0.00
00510009,007,0.00
00510011,001,0.00
00510012,001,2.00
00510014,001,0.00
00510015,001,1.00
00510017,001,0.00
00510018,001,2.00
00510020,001,0.00
00510020,004,0.00
00510022,001,0.00
00510024,001,0.00
00510025,001,0.00
00510027,001,1.00
00510027,004,1.00
00510028,001,1.00
00510033,007,0.00
00510034,007,0.00
00510046,007,0.00
00510049,007,0.00
00510058,007,0.00
00510060,007,0.00
00510061,007,0.00
00510063,007,0.00
00510064,007,0.00
00510066,007,0.00
00510067,007,0.00
00510070,007,0.00
00510072,001,0.00
00510073,001,0.00
00510073,007,1.00
00510075,001,0.00
00510076,001,0.00
00510076,007,0.00
00510T004,001,0.00
00510T005,001,0.00
00510T005,007,1.00
00510T007,001,1.00
00510T007,007,1.00
00510T008,001,0.00
00510T009,001,1.00
00510T009,007,0.00
00510T010,001,1.00
00510T011,001,3.00
00510T011,007,0.00
00510T012,001,0.00
00510T013,001,3.00
00510T013,003,0.00
00510T014,001,0.00
00510T014,003,1.00
00510T015,001,1.00
00510T015,007,-1.00
00510T016,001,2.00
00510T017,001,0.00
00510T017,007,0.00
00510T018,001,0.00
00510T026,007,0.00
00510T027,003,0.00
00510T030,007,0.00
00515003,001,0.00
00515003,003,0.00
00515003,004,0.00
00515003,006,0.00
00515003,007,0.00
00515004,001,0.00
00515004,003,0.00
00515004,004,0.00
00515004,006,0.00
00515004,007,0.00
00515005,001,0.00
00515005,003,0.00
00515005,004,0.00
00515005,006,0.00
00515005,007,0.00
00515006,001,0.00
00515006,003,1.00
00515006,004,1.00
00515006,007,0.00
00515007,001,0.00
00515007,003,0.00
00515007,004,0.00
00515007,006,0.00
00515007,007,0.00
00515008,001,0.00
00515008,003,0.00
00515008,004,0.00
00515008,006,1.00
00515A21002,001,0.00
00515A21002,003,0.00
00515A21002,004,0.00
